Country,Cluster,Initial_HALE,Target_HALE,Achieved_HALE,HALE_Gain,Baseline_Final,Total_Cost,Converged
Colombia,Mid-Health,67.9,70.9,68.1,0.2,66.67,7.3401,False
Austria,High-Health,70.42,73.9,70.91,0.5,,3.118214,False
Viet Nam,Mid-Health,64.36,68.4,66.61,2.26,,21.136222,False
Portugal,High-Health,69.13,72.6,70.11,0.98,,0.781514,False
Ukraine,High-Health,64.42,69.4,64.42,0.0,,0.0,False
France,High-Health,69.53,77.5,69.53,0.0,,0.0,False
India,Low-Health,60.98,64.8,65.23,4.25,,4.790814,True
Italy,High-Health,70.63,71.75,70.85,0.22,,0.728849,False
Mexico,Mid-Health,66.14,69.07,67.53,1.39,,3.906613,False
Maldives,Mid-Health,66.27,69.75,68.55,2.28,,38.342507,False
Kazakhstan,Mid-Health,65.64,70.54,69.71,4.07,,297.171085,False
Kenya,Low-Health,50.14,59.6,63.98,13.84,,44.211365,True
Japan,High-Health,72.26,71.86,70.86,-1.4,,63.032849,False
China,Mid-Health,65.19,68.57,69.03,3.84,,65.287608,True
Germany,High-Health,69.48,71.21,70.75,1.27,,2.219316,False
Canada,High-Health,70.23,77.9,70.6,0.36,,0.0,False
Finland,High-Health,70.18,71.7,71.76,1.58,,1.007352,True
Gabon,Low-Health,57.43,63.2,63.67,6.24,,6.681992,True
